public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-LS-0014,IOO,line_scan_light,LSW-00-040-2-X,private_supplier,346
IOO-LS-0015,IOO,line_scan_light,LSW-00-050-1-X,private_supplier,347
IOO-LS-0016,IOO,line_scan_light,LSW-00-050-2-X,private_supplier,348
IOO-LS-0017,IOO,line_scan_light,LSW-00-070-3-X,private_supplier,349
IOO-LS-0018,IOO,line_scan_light,LSW-00-090-4-X,private_supplier,350
IOO-LS-0019,IOO,line_scan_light,LSW-00-157-7-X-24V,private_supplier,351
IOO-LS-0020,IOO,line_scan_light,LSW-15-038-2-X,private_supplier,352
IOO-LS-0021,IOO,line_scan_light,LSW-15-050-2-X,private_supplier,353
IOO-LS-0022,IOO,line_scan_light,LSW-15-070-2-X,private_supplier,354
IOO-LS-0023,IOO,line_scan_light,LSW-15-070-3-X,private_supplier,355
IOO-LS-0024,IOO,line_scan_light,LSW-15-090-4-X,private_supplier,356
IOO-LS-0025,IOO,line_scan_light,LSW-15-100-5-X,private_supplier,357
IOO-LS-0026,IOO,line_scan_light,LSW-30-040-2-X,private_supplier,358
IOO-LS-0027,IOO,line_scan_light,LSW-30-050-2-X,private_supplier,359
IOO-LS-0028,IOO,line_scan_light,LSW-30-070-3-X,private_supplier,360
IOO-LS-0029,IOO,line_scan_light,LSW-30-090-4-X,private_supplier,361
IOO-LS-0030,IOO,line_scan_light,LSW-30-130-5-X,private_supplier,362
IOO-LS-0031,IOO,line_scan_light,LSW-45-050-2-X,private_supplier,363
IOO-LS-0032,IOO,line_scan_light,LSW-45-070-3-X,private_supplier,364
IOO-LS-0033,IOO,line_scan_light,LSW-45-090-4-X,private_supplier,365
IOO-LS-0034,IOO,line_scan_light,LSW-45-100-5-X,private_supplier,366
IOO-LS-0035,IOO,line_scan_light,LSW-45-120-3-X-24V,private_supplier,367
IOO-LS-0036,IOO,line_scan_light,LSW-45-170-5-X-24V,private_supplier,368
IOO-LS-0037,IOO,line_scan_light,LSW-00-157-7-X,private_supplier,369
IOO-LS-0038,IOO,line_scan_light,LSW-45-120-3-X,private_supplier,370
IOO-LS-0039,IOO,line_scan_light,LSW-45-170-5-X,private_supplier,371
IOO-LS-0040,IOO,line_scan_light,LSQF-00-033-1-X,private_supplier,372
IOO-LS-0041,IOO,line_scan_light,LSQF-00-045-1-X,private_supplier,373
IOO-LS-0042,IOO,line_scan_light,LSQF-00-051-1-X,private_supplier,374
IOO-LS-0043,IOO,line_scan_light,LSQF-15-033-1-X,private_supplier,375
IOO-LS-0044,IOO,line_scan_light,LSQF-15-045-1-X,private_supplier,376
IOO-LS-0045,IOO,line_scan_light,LSQF-15-051-1-X,private_supplier,377
IOO-LS-0046,IOO,line_scan_light,LSQF-30-033-1-X,private_supplier,378
IOO-LS-0047,IOO,line_scan_light,LSQF-30-045-1-X,private_supplier,379
IOO-LS-0048,IOO,line_scan_light,LSQF-30-051-1-X,private_supplier,380
IOO-LS-0049,IOO,line_scan_light,LSQF-45-033-1-X,private_supplier,381
IOO-LS-0050,IOO,line_scan_light,LSQF-45-045-1-X,private_supplier,382
IOO-LS-0051,IOO,line_scan_light,LSQF-45-051-1-X,private_supplier,383
IOO-LS-0052,IOO,line_scan_light,LSQ-00-033-1-X,private_supplier,384
IOO-LS-0053,IOO,line_scan_light,LSQ-00-045-1-X,private_supplier,385
IOO-LS-0054,IOO,line_scan_light,LSQ-00-051-1-X,private_supplier,386
IOO-LS-0055,IOO,line_scan_light,LSQ-15-033-1-X,private_supplier,387
IOO-LS-0056,IOO,line_scan_light,LSQ-15-045-1-X,private_supplier,388
IOO-LS-0057,IOO,line_scan_light,LSQ-15-051-1-X,private_supplier,389
IOO-LS-0058,IOO,line_scan_light,LSQ-30-033-1-X,private_supplier,390
IOO-LS-0059,IOO,line_scan_light,LSQ-30-045-1-X,private_supplier,391
IOO-LS-0060,IOO,line_scan_light,LSQ-30-051-1-X,private_supplier,392
IOO-LS-0061,IOO,line_scan_light,LSQ-45-033-1-X,private_supplier,393
IOO-LS-0062,IOO,line_scan_light,LSQ-45-045-1-X,private_supplier,394
IOO-LS-0063,IOO,line_scan_light,LSQ-45-051-1-X,private_supplier,395
IOO-LS-0064,IOO,line_scan_light,R,private_supplier,396
IOO-LS-0065,IOO,line_scan_light,LSQ-45-030-1-X,private_supplier,397
IOO-LS-0066,IOO,line_scan_light,LSQ-45-040-1-X,private_supplier,398
IOO-LS-0067,IOO,line_scan_light,LSQ-45-050-1-X,private_supplier,399
IOO-LS-0068,IOO,line_scan_light,LSQ-00-050-2-X,private_supplier,400
IOO-LS-0069,IOO,line_scan_light,LSQ-00-060-3-X,private_supplier,401
IOO-BAR-0013,IOO,bar_light,HLBQ3-00-065-1-X,private_supplier,402
IOO-BAR-0014,IOO,bar_light,HLBQ3-00-130-1-X,private_supplier,403
IOO-BAR-0015,IOO,bar_light,MLBX2-00-060-2-X,private_supplier,404
IOO-BAR-0016,IOO,bar_light,MLBX2-00-090-2-X,private_supplier,405
IOO-BAR-0017,IOO,bar_light,MLBX2-00-120-2-X,private_supplier,406
IOO-BAR-0018,IOO,bar_light,MLBX2-00-150-2-X,private_supplier,407
IOO-BAR-0019,IOO,bar_light,MLBX2-00-060-2-RGB,private_supplier,408
IOO-BAR-0020,IOO,bar_light,MLBX2-00-090-2-RGB,private_supplier,409
IOO-BAR-0021,IOO,bar_light,MLBX2-00-120-2-RGB,private_supplier,410
IOO-BAR-0022,IOO,bar_light,MLBX2-00-150-2-RGB,private_supplier,411
IOO-RL-0019,IOO,ring_light,HLBRX-00-040-3-X,private_supplier,412
IOO-RL-0020,IOO,ring_light,HLBRX-00-080-3-X,private_supplier,413
IOO-LT-0155,IOO,illumination,MLBQ-00-090-2-RGBW,private_supplier,414
IOO-LT-0156,IOO,illumination,LBQ25-00-050-3-X,private_supplier,415
IOO-LT-0157,IOO,illumination,LBQ30-00-060-3-X,private_supplier,416
IOO-LT-0158,IOO,illumination,LBQ40-00-080-3-X,private_supplier,417
IOO-LT-0159,IOO,illumination,LBQ45-00-090-3-X,private_supplier,418
IOO-BAR-0023,IOO,bar_light,LBS25-00-050-3-X,private_supplier,419
IOO-BAR-0024,IOO,bar_light,LBS30-00-060-3-X,private_supplier,420
IOO-BAR-0025,IOO,bar_light,LBS40-00-080-3-X,private_supplier,421
IOO-BAR-0026,IOO,bar_light,LBS45-00-135-3-X,private_supplier,422
IOO-LS-0070,IOO,line_scan_light,LBMQ-00-040-1-X,private_supplier,423
IOO-LS-0071,IOO,line_scan_light,LBMQ-00-040-2-X,private_supplier,424
IOO-LS-0072,IOO,line_scan_light,LBMQ-00-040-3-X,private_supplier,425
IOO-LT-0160,IOO,illumination,LBMQ-00-040-1-X-24V,private_supplier,426
IOO-LT-0161,IOO,illumination,LBMQ-00-040-2-X-24V,private_supplier,427
IOO-LT-0162,IOO,illumination,LBMQ-00-040-3-X-24V,private_supplier,428
IOO-BAR-0027,IOO,bar_light,LBM-00-040-1-X,private_supplier,429
IOO-BAR-0028,IOO,bar_light,LBM-00-080-1-X,private_supplier,430
IOO-BAR-0029,IOO,bar_light,LBM-00-040-2-X,private_supplier,431
IOO-BAR-0030,IOO,bar_light,LBM-00-080-2-X,private_supplier,432
IOO-BAR-0031,IOO,bar_light,LBM-00-040-3-X,private_supplier,433
IOO-BAR-0032,IOO,bar_light,LBM-00-080-3-X,private_supplier,434
IOO-BAR-0033,IOO,bar_light,LBM-00-040-1-X-24V,private_supplier,435
IOO-BAR-0034,IOO,bar_light,LBM-00-080-1-X-24V,private_supplier,436
