severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,21-4CH-A1-RS-LL,LC-21-4CH-A1-RS-LL,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lc-21-4ch-a1-rs-ll-1479307220
medium,low_core_field_coverage,21-8CH-HS,LC-21-8CH-HS,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lc-21-8ch-hs
medium,low_core_field_coverage,21-8CH-HS-TCP,LC-21-8CH-HS-TCP,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lc-21-8ch-hs-tcp
medium,low_core_field_coverage,F-IDQ-IDS5-HBL3-FWNA,DK-F-IDQ-IDS5-HBL3-FWNA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-f-idq-ids5-hbl3-fwna
medium,low_core_field_coverage,DK-LIGHTING-SET-V1,TME-DK-LIGHTING-SET-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/tme-dk-lighting-set-v1
medium,low_core_field_coverage,OD-LSQ-24V-V1,DK-OD-LSQ-24V-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-od-lsq-24v-v1
medium,low_core_field_coverage,OD-LSQF-24V-V1,DK-OD-LSQF-24V-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-od-lsqf-24v-v1
medium,low_core_field_coverage,F-DXX-070-100-120-V1,DK-F-DXX-070-100-120-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-f-dxx-070-100-120-v1
medium,low_core_field_coverage,F-DXX-D080-100-130-V1,DK-F-DXX-D080-100-130-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-f-dxx-d080-100-130-v1
medium,low_core_field_coverage,LIGHTING-PM-40-V1,DK-LIGHTING-PM-40-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-lighting-pm-40-v1
